City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,hofn,64.2539,-15.2082,30.58,84,100,17.18,IS,2023-02-02 06:58:26
343,mao,39.8885,4.2658,48.76,76,0,9.22,ES,2023-02-02 06:58:26
344,sanchursk,56.9413,47.2499,16.02,89,100,9.42,RU,2023-02-02 06:58:27
345,maumere,-8.6199,122.2111,81.81,81,100,7.27,ID,2023-02-02 06:58:27
346,tomakomai,42.6369,141.6033,23.16,53,75,16.11,JP,2023-02-02 06:58:28
347,bajil,15.0584,43.2851,79.12,58,4,6.76,YE,2023-02-02 06:58:29
348,genhe,50.7833,121.5167,4.1,81,33,5.12,CN,2023-02-02 06:58:29
349,coron,11.9986,120.2043,84.79,67,15,10.18,PH,2023-02-02 06:58:30
350,havelock,34.8791,-76.9013,44.58,82,100,10.36,US,2023-02-02 06:58:30
351,katsuura,35.1333,140.3,48.07,35,100,7.0,JP,2023-02-02 06:58:31
352,urucui,-7.2294,-44.5561,74.28,78,100,1.74,BR,2023-02-02 06:58:32
353,kabanjahe,3.1001,98.4908,70.65,82,100,2.84,ID,2023-02-02 06:58:32
354,gidole,5.65,37.3667,71.8,29,63,3.15,ET,2023-02-02 06:58:33
355,general roca,-39.0333,-67.5833,73.62,60,100,10.54,AR,2023-02-02 06:58:33
356,oriximina,-1.7656,-55.8661,71.06,97,100,2.64,BR,2023-02-02 06:58:34
357,kawalu,-7.3817,108.2082,79.14,77,100,2.51,ID,2023-02-02 06:58:35
358,sao filipe,14.8961,-24.4956,70.48,72,99,10.89,CV,2023-02-02 06:58:35
359,kruisfontein,-34.0033,24.7314,73.89,48,99,5.86,ZA,2023-02-02 06:58:36
360,mehamn,71.0357,27.8492,31.91,79,40,9.22,NO,2023-02-02 06:58:36
361,igdir,39.9237,44.045,35.53,76,100,2.93,TR,2023-02-02 06:58:37
362,harper,4.375,-7.7169,78.84,86,14,4.14,LR,2023-02-02 06:58:38
363,usoke,-5.1667,32.35,72.72,77,16,2.19,TZ,2023-02-02 06:58:38
364,raudeberg,61.9875,5.1352,30.96,50,8,8.66,NO,2023-02-02 06:58:39
365,daugavpils,55.8833,26.5333,31.12,84,100,6.62,LV,2023-02-02 06:58:40
366,ujjain,23.1833,75.7667,75.47,15,43,7.18,IN,2023-02-02 06:58:41
367,erdaojiang,41.7764,126.0319,17.42,60,5,3.15,CN,2023-02-02 06:58:41
368,juneau,58.3019,-134.4197,32.22,91,100,5.75,US,2023-02-02 06:55:35
369,klichka,50.4457,117.996,1.02,87,98,3.85,RU,2023-02-02 06:58:42
370,talbahat,25.05,78.4333,75.97,18,12,6.42,IN,2023-02-02 06:58:43
371,bambous virieux,-20.3428,57.7575,86.22,74,40,6.91,MU,2023-02-02 06:58:44
372,tuatapere,-46.1333,167.6833,66.74,84,100,0.49,NZ,2023-02-02 06:58:44
373,talnakh,69.4865,88.3972,9.21,96,100,8.84,RU,2023-02-02 06:58:45
374,wanaka,-44.7,169.15,62.89,90,100,5.97,NZ,2023-02-02 06:58:45
375,rio branco,-9.9747,-67.81,75.81,100,40,6.91,BR,2023-02-02 06:58:46
376,labytnangi,66.6572,66.4183,3.99,98,50,5.19,RU,2023-02-02 06:58:47
377,nalut,30.3333,10.85,41.52,61,78,11.48,LY,2023-02-02 06:58:48
378,navolato,24.7672,-107.6944,61.65,74,57,7.76,MX,2023-02-02 06:58:48
379,kajaani,64.2273,27.7285,23.05,93,100,4.61,FI,2023-02-02 06:58:49
380,ulaangom,49.9811,92.0667,-8.32,92,90,2.19,MN,2023-02-02 06:58:50
381,matiri,-10.75,34.9,63.09,95,100,2.06,TZ,2023-02-02 06:58:51
382,santa rosa,14.3122,121.1114,88.09,71,4,15.86,PH,2023-02-02 06:58:52
383,flinders,-34.5833,150.8552,90.25,74,82,5.99,AU,2023-02-02 06:58:53
384,mayo,38.8876,-76.5119,33.12,75,0,1.99,US,2023-02-02 06:58:53
385,craig,40.5153,-107.5464,2.82,77,0,0.0,US,2023-02-02 06:58:54
386,porto novo,6.4965,2.6036,80.42,76,96,4.12,BJ,2023-02-02 06:58:54
387,samarai,-10.6167,150.6667,85.5,72,96,6.17,PG,2023-02-02 06:58:55
388,pahrump,36.2083,-115.9839,44.65,40,6,0.96,US,2023-02-02 06:58:56
389,amahai,-3.3333,128.9167,84.36,70,95,4.27,ID,2023-02-02 06:58:56
390,nanortalik,60.1432,-45.2371,19.13,79,98,16.35,GL,2023-02-02 06:58:57
391,sobolevo,54.4299,31.8996,31.89,98,100,9.69,RU,2023-02-02 06:58:58
392,marsh harbour,26.5412,-77.0636,74.08,73,0,3.56,BS,2023-02-02 06:58:58
393,luderitz,-26.6481,15.1594,70.38,58,1,19.13,NA,2023-02-02 06:58:59
394,lexington,37.9887,-84.4777,30.09,82,20,0.0,US,2023-02-02 06:54:31
395,mitchell,43.7094,-98.0298,15.78,80,0,3.44,US,2023-02-02 06:59:00
396,karaidel,55.8337,56.9069,20.16,88,100,2.35,RU,2023-02-02 06:59:01
397,warmbad,-28.45,18.7333,71.82,39,0,3.33,NA,2023-02-02 06:59:01
398,yuancheng,36.652,107.7896,39.6,21,34,10.36,CN,2023-02-02 06:59:02
399,zhaotong,27.3167,103.7167,53.56,41,14,10.36,CN,2023-02-02 06:59:02
400,saint anthony,45.0205,-93.218,12.52,82,0,5.75,US,2023-02-02 06:59:03
401,sao felix do xingu,-6.6447,-51.995,68.41,99,92,1.21,BR,2023-02-02 06:56:22
402,thinadhoo,0.5333,72.9333,81.48,67,12,16.04,MV,2023-02-02 06:59:04
403,chihuahua,28.5,-106.0,45.19,46,31,13.18,MX,2023-02-02 06:56:54
404,lagos,6.5833,3.75,79.12,75,84,2.19,NG,2023-02-02 06:55:10
405,cairns,-16.9167,145.7667,87.75,74,100,8.05,AU,2023-02-02 06:59:06
406,alugan,12.2188,125.4808,80.98,83,26,13.87,PH,2023-02-02 06:59:06
407,camacha,33.0833,-16.3333,58.42,59,40,17.27,PT,2023-02-02 06:59:07
408,appingedam,53.3217,6.8583,41.97,87,100,5.01,NL,2023-02-02 06:59:07
409,tabou,4.423,-7.3528,78.91,86,7,3.69,CI,2023-02-02 06:59:08
410,khandbari,27.3747,87.2039,75.4,21,0,6.38,NP,2023-02-02 06:59:09
411,qarqin,37.4185,66.0436,52.07,81,100,3.2,AF,2023-02-02 06:59:10
412,xinqing,48.2333,129.5,7.79,65,100,11.05,CN,2023-02-02 06:59:10
413,seoul,37.5683,126.9778,36.79,29,0,6.91,KR,2023-02-02 06:55:28
414,sandviken,60.6167,16.7667,19.22,77,5,4.05,SE,2023-02-02 06:59:11
415,alta floresta,-9.8756,-56.0861,69.19,97,100,2.13,BR,2023-02-02 06:59:12
416,naryan-mar,67.6713,53.087,20.89,93,95,13.44,RU,2023-02-02 06:59:12
417,collierville,35.042,-89.6645,31.93,97,100,7.02,US,2023-02-02 06:59:13
418,tiksi,71.6872,128.8694,-16.31,99,100,8.16,RU,2023-02-02 06:59:14
419,davila,18.4726,120.5763,85.98,77,14,24.2,PH,2023-02-02 06:59:15
420,betong,5.7743,101.0723,73.76,97,100,1.7,TH,2023-02-02 06:59:15
421,tymovskoye,50.8456,142.655,-1.66,88,100,6.62,RU,2023-02-02 06:59:16
422,hambantota,6.1241,81.1185,79.14,100,75,3.44,LK,2023-02-02 06:59:16
423,bom jardim,-7.7958,-35.5872,69.46,93,50,2.35,BR,2023-02-02 06:59:17
424,hasaki,35.7333,140.8333,48.29,38,100,10.27,JP,2023-02-02 06:59:18
425,morgantown,39.6295,-79.9559,27.45,85,0,0.0,US,2023-02-02 06:58:21
426,zinder,13.8072,8.9881,66.16,20,95,10.36,NE,2023-02-02 06:59:19
